idx,eventId,activity,timestamp,timestampVar,box,batchPosition,equipment,log
0.0,e1,LoadAL,31/10/2023 10:00:00,t1,,,1465.0,ExtendedExample
1.0,e2,LoadFS,,t2,,x,1465.0,ExtendedExample
2.0,,Open,31/10/2023 10:00:02,,,,1465.0,
3.0,e4,,31/10/2023 10:00:03,t4,,,1465.0,ExtendedExample
,e5,,31/10/2023 10:00:04,t5,,x,1465.0,
5.0,,LoadSS,31/10/2023 10:00:05,t6,,x,1465.0,ExtendedExample
6.0,e7,Close,31/10/2023 10:00:06,t7,,,1465.0,ExtendedExample
7.0,e8,Seal,,t8,b1,,1465.0,ExtendedExample
8.0,e9,UnloadSS,31/10/2023 10:00:08,t9,,x,1465.0,ExtendedExample
9.0,e10,LoadFS,31/10/2023 10:00:09,t10,,z,1465.0,ExtendedExample
,,Open,31/10/2023 10:00:10,t11,,,1465.0,ExtendedExample
11.0,e12,Fill,,t12,,,1465.0,
12.0,,UnloadFS,31/10/2023 10:00:12,t13,,z,1465.0,ExtendedExample
13.0,e14,LoadSS,,t14,,z,1465.0,ExtendedExample
14.0,e15,Close,,t15,,,1465.0,ExtendedExample
15.0,e16,Seal,,,b2,,1465.0,ExtendedExample
16.0,e17,UnloadSS,31/10/2023 10:00:16,t17,,,1465.0,
17.0,e18,LoadFS,31/10/2023 10:00:17,t18,,y,1465.0,ExtendedExample
18.0,e19,Open,31/10/2023 10:00:18,t19,,,1465.0,
19.0,e20,Fill,31/10/2023 10:00:19,t20,,,,ExtendedExample
20.0,e21,UnloadFS,31/10/2023 10:00:20,t21,,y,1465.0,ExtendedExample
21.0,,LoadSS,31/10/2023 10:00:21,,,y,1465.0,
22.0,e23,Close,31/10/2023 10:00:22,,,,1465.0,ExtendedExample
23.0,e24,Seal,31/10/2023 10:00:23,t24,b3,,1465.0,ExtendedExample
24.0,e25,UnloadSS,31/10/2023 10:00:24,t25,,,1465.0,ExtendedExample
25.0,e26,UnloadAL,31/10/2023 10:00:25,t26,,,1465.0,ExtendedExample
26.0,e27,LoadAL,31/10/2023 10:00:26,t27,,,3012.0,ExtendedExample
27.0,e28,LoadFS,,t28,,,3012.0,
,e29,Open,,t29,,,,ExtendedExample
29.0,,,31/10/2023 10:00:29,,,,3012.0,
30.0,e31,UnloadFS,,t31,,y,,ExtendedExample
31.0,e32,LoadSS,31/10/2023 10:00:31,t32,,y,3012.0,ExtendedExample
32.0,e33,Close,,t33,,,3012.0,ExtendedExample
33.0,e34,Seal,31/10/2023 10:00:33,t34,b4,,3012.0,ExtendedExample
